0,status,1,WEREWOLF,ALIVE,kenzi
0,status,2,VILLAGER,ALIVE,hello_wolf
0,status,3,BODYGUARD,ALIVE,Dummy_01
0,status,4,MEDIUM,ALIVE,Tomato
0,status,5,VILLAGER,ALIVE,Dummy_03
0,status,6,VILLAGER,ALIVE,Udon
0,status,7,SEER,ALIVE,Dummy_02
0,status,8,VILLAGER,ALIVE,fisherman
0,status,9,VILLAGER,ALIVE,takeda
0,status,10,WEREWOLF,ALIVE,GO1DeNO
0,status,11,VILLAGER,ALIVE,wasabi
0,status,12,VILLAGER,ALIVE,fanfan
0,status,13,VILLAGER,ALIVE,calups
0,status,14,POSSESSED,ALIVE,sonoda
0,status,15,WEREWOLF,ALIVE,cantar
0,whisper,0,0,10,COMINGOUT Agent[10] VILLAGER
0,whisper,1,0,15,COMINGOUT Agent[15] SEER
0,whisper,2,0,1,COMINGOUT Agent[01] SEER
0,whisper,3,1,1,Skip
0,whisper,4,1,10,Skip
0,whisper,5,1,15,COMINGOUT Agent[15] SEER
0,whisper,6,2,15,COMINGOUT Agent[15] SEER
0,whisper,7,2,1,Skip
0,whisper,8,2,10,Skip
0,whisper,9,3,1,Over
0,whisper,10,3,15,COMINGOUT Agent[15] SEER
0,whisper,11,3,10,Over
0,whisper,12,4,1,Over
0,whisper,13,4,10,Over
0,whisper,14,4,15,COMINGOUT Agent[15] SEER
0,whisper,15,5,15,COMINGOUT Agent[15] SEER
0,whisper,16,5,10,Over
0,whisper,17,5,1,Over
0,whisper,18,6,15,COMINGOUT Agent[15] SEER
0,whisper,19,6,10,Over
0,whisper,20,6,1,Over
0,whisper,21,7,10,Over
0,whisper,22,7,15,COMINGOUT Agent[15] SEER
0,whisper,23,7,1,Over
0,whisper,24,8,1,Over
0,whisper,25,8,10,Over
0,whisper,26,8,15,COMINGOUT Agent[15] SEER
0,whisper,27,9,15,COMINGOUT Agent[15] SEER
0,whisper,28,9,1,Over
0,whisper,29,9,10,Over
0,whisper,30,10,10,Over
0,whisper,31,10,15,Over
0,whisper,32,10,1,Over
0,divine,7,10,WEREWOLF
1,status,1,WEREWOLF,ALIVE,kenzi
1,status,2,VILLAGER,ALIVE,hello_wolf
1,status,3,BODYGUARD,ALIVE,Dummy_01
1,status,4,MEDIUM,ALIVE,Tomato
1,status,5,VILLAGER,ALIVE,Dummy_03
1,status,6,VILLAGER,ALIVE,Udon
1,status,7,SEER,ALIVE,Dummy_02
1,status,8,VILLAGER,ALIVE,fisherman
1,status,9,VILLAGER,ALIVE,takeda
1,status,10,WEREWOLF,ALIVE,GO1DeNO
1,status,11,VILLAGER,ALIVE,wasabi
1,status,12,VILLAGER,ALIVE,fanfan
1,status,13,VILLAGER,ALIVE,calups
1,status,14,POSSESSED,ALIVE,sonoda
1,status,15,WEREWOLF,ALIVE,cantar
1,talk,0,0,15,COMINGOUT Agent[15] SEER
1,talk,1,0,10,VOTE Agent[11]
1,talk,2,0,11,ESTIMATE Agent[04] WEREWOLF
1,talk,3,0,6,VOTE Agent[14]
1,talk,4,0,1,DIVINATION Agent[05]
1,talk,5,0,7,COMINGOUT Agent[07] SEER
1,talk,6,0,3,Skip
1,talk,7,0,14,COMINGOUT Agent[14] SEER
1,talk,8,0,5,Skip
1,talk,9,0,12,VOTE Agent[11]
1,talk,10,0,9,VOTE Agent[14]
1,talk,11,0,4,COMINGOUT Agent[04] MEDIUM
1,talk,12,0,2,VOTE Agent[11]
1,talk,13,0,13,Skip
1,talk,14,0,8,VOTE Agent[11]
1,talk,15,1,11,ESTIMATE Agent[08] VILLAGER
1,talk,16,1,1,Skip
1,talk,17,1,7,DAY 1 (DIVINED Agent[10] WEREWOLF)
1,talk,18,1,14,DIVINED Agent[14] HUMAN
1,talk,19,1,13,Skip
1,talk,20,1,4,VOTE Agent[11]
1,talk,21,1,15,COMINGOUT Agent[15] SEER
1,talk,22,1,12,Skip
1,talk,23,1,8,VOTE Agent[15]
1,talk,24,1,6,VOTE Agent[01]
1,talk,25,1,10,Skip
1,talk,26,1,3,Skip
1,talk,27,1,2,VOTE Agent[15]
1,talk,28,1,9,VOTE Agent[07]
1,talk,29,1,5,Skip
1,talk,30,2,8,VOTE Agent[07]
1,talk,31,2,13,Over
1,talk,32,2,2,Skip
1,talk,33,2,3,AND (VOTE Agent[01]) (REQUEST ANY (VOTE Agent[01]))
1,talk,34,2,12,VOTE Agent[07]
1,talk,35,2,1,Skip
1,talk,36,2,9,VOTE Agent[15]
1,talk,37,2,6,VOTE Agent[10]
1,talk,38,2,10,Skip
1,talk,39,2,15,COMINGOUT Agent[15] SEER
1,talk,40,2,4,Skip
1,talk,41,2,14,VOTE Agent[07]
1,talk,42,2,11,Skip
1,talk,43,2,5,AND (VOTE Agent[12]) (REQUEST ANY (VOTE Agent[12]))
1,talk,44,2,7,BECAUSE (DAY 1 (DIVINED Agent[10] WEREWOLF)) (REQUEST ANY (VOTE Agent[10]))
1,talk,45,3,1,DIVINATION Agent[15]
1,talk,46,3,15,COMINGOUT Agent[15] SEER
1,talk,47,3,6,Over
1,talk,48,3,11,VOTE Agent[10]
1,talk,49,3,8,Skip
1,talk,50,3,7,BECAUSE (DAY 1 (DIVINED Agent[10] WEREWOLF)) (AND (VOTE Agent[10]) (REQUEST ANY (VOTE Agent[10])))
1,talk,51,3,13,Over
1,talk,52,3,10,Over
1,talk,53,3,2,VOTE Agent[07]
1,talk,54,3,5,AND (VOTE Agent[10]) (REQUEST ANY (VOTE Agent[10]))
1,talk,55,3,12,Skip
1,talk,56,3,9,Skip
1,talk,57,3,3,AND (VOTE Agent[10]) (REQUEST ANY (VOTE Agent[10]))
1,talk,58,3,14,Skip
1,talk,59,3,4,VOTE Agent[07]
1,talk,60,4,6,Over
1,talk,61,4,11,Skip
1,talk,62,4,8,Skip
1,talk,63,4,7,Skip
1,talk,64,4,10,Over
1,talk,65,4,3,Skip
1,talk,66,4,4,Skip
1,talk,67,4,15,COMINGOUT Agent[15] SEER
1,talk,68,4,2,Skip
1,talk,69,4,5,Skip
1,talk,70,4,1,VOTED Agent[15]
1,talk,71,4,9,Skip
1,talk,72,4,13,Over
1,talk,73,4,14,Skip
1,talk,74,4,12,Skip
1,talk,75,5,11,ESTIMATE Agent[12] VILLAGER
1,talk,76,5,8,Over
1,talk,77,5,13,OR (VOTE Agent[01]) (VOTE Agent[02]) (VOTE Agent[03]) (VOTE Agent[05]) (VOTE Agent[06]) (VOTE Agent[08]) (VOTE Agent[09]) (VOTE Agent[11]) (VOTE Agent[12]) 
1,talk,78,5,2,Skip
1,talk,79,5,10,Over
1,talk,80,5,6,Over
1,talk,81,5,12,Over
1,talk,82,5,5,Skip
1,talk,83,5,7,Skip
1,talk,84,5,4,Skip
1,talk,85,5,9,Over
1,talk,86,5,15,COMINGOUT Agent[15] SEER
1,talk,87,5,1,Skip
1,talk,88,5,14,Over
1,talk,89,5,3,Skip
1,talk,90,6,13,Over
1,talk,91,6,12,Over
1,talk,92,6,3,Over
1,talk,93,6,1,ATTACK Agent[14]
1,talk,94,6,4,Over
1,talk,95,6,15,COMINGOUT Agent[15] SEER
1,talk,96,6,11,REQUEST ANY (VOTE Agent[10])
