0,status,1,POSSESSED,ALIVE,carlo
1,talk,88,5,1,Over
1,talk,89,5,5,VOTE Agent[15]
1,talk,90,6,13,Over
1,talk,91,6,8,Skip
1,talk,92,6,6,REQUEST(VOTE Agent[08])
1,talk,93,6,4,REQUEST(DIVINATION Agent[13])
1,talk,94,6,15,COMINGOUT Agent[15] VILLAGER
1,talk,95,6,1,Over
1,talk,96,6,7,Over
1,talk,97,6,10,Over
1,talk,98,6,11,ESTIMATE Agent[13] VILLAGER
1,talk,99,6,14,VOTE Agent[08]
1,talk,100,6,2,Over
1,talk,101,6,3,Over
1,talk,102,6,9,VOTE Agent[15]
1,talk,103,6,12,Over
1,talk,104,6,5,Skip
1,talk,105,7,9,Skip
1,talk,106,7,14,Skip
1,talk,107,7,12,Over
1,talk,108,7,4,Skip
1,talk,109,7,15,ESTIMATE Agent[03] VILLAGER
1,talk,110,7,2,Over
1,talk,111,7,6,Skip
1,talk,112,7,13,ESTIMATE Agent[15] WEREWOLF
1,talk,113,7,5,Skip
1,talk,114,7,1,Over
1,talk,115,7,3,Over
1,talk,116,7,10,Over
1,talk,117,7,7,Over
1,talk,118,7,11,ESTIMATE Agent[06] WEREWOLF
1,talk,119,7,8,VOTE Agent[15]
1,talk,120,8,14,VOTE Agent[05]
1,talk,121,8,2,Over
1,talk,122,8,1,Over
1,talk,123,8,8,Skip
1,talk,124,8,3,Over
1,talk,125,8,13,Over
1,talk,126,8,9,Skip
1,talk,127,8,10,Over
1,talk,128,8,11,ESTIMATE Agent[04] VILLAGER
1,talk,129,8,4,Skip
1,talk,130,8,15,Over
1,talk,131,8,7,Over
1,talk,132,8,12,Over
1,talk,133,8,6,Skip
1,talk,134,8,5,Over
1,talk,135,9,3,Over
1,talk,136,9,12,Over
1,talk,137,9,4,Over
1,talk,138,9,7,Over
1,talk,139,9,2,Over
1,talk,140,9,1,Over
1,talk,141,9,14,Skip
1,talk,142,9,13,Over
1,talk,143,9,9,Over
1,talk,144,9,5,Over
1,talk,145,9,8,Skip
1,talk,146,9,10,Over
1,talk,147,9,11,ESTIMATE Agent[08] WEREWOLF
1,talk,148,9,15,ESTIMATE Agent[12] VILLAGER
1,talk,149,9,6,Over
1,talk,150,10,2,Over
1,talk,151,10,7,Over
1,talk,152,10,1,Over
1,talk,153,10,12,Over
1,talk,154,10,9,Over
1,talk,155,10,10,Over
1,talk,156,10,11,Over
1,talk,157,10,15,Over
1,talk,158,10,3,Over
1,talk,159,10,4,Over
1,talk,160,10,13,Over
1,talk,161,10,6,Over
1,talk,162,10,8,VOTE Agent[15]
1,talk,163,10,14,Over
1,talk,164,10,5,Over
1,talk,165,11,10,Over
1,talk,166,11,9,Over
1,talk,167,11,8,Skip
1,talk,168,11,7,Over
1,talk,169,11,13,Over
1,talk,170,11,12,Over
1,talk,171,11,6,Over
1,talk,172,11,3,Over
1,talk,173,11,5,Over
1,talk,174,11,2,Over
1,talk,175,11,15,Over
1,talk,176,11,11,Over
1,talk,177,11,1,Over
1,talk,178,11,4,Over
1,talk,179,11,14,Over
1,talk,180,12,1,Over
1,talk,181,12,13,Over
1,talk,182,12,3,Over
1,talk,183,12,7,Over
1,talk,184,12,6,Over
1,talk,185,12,12,Over
1,talk,186,12,5,Over
1,talk,187,12,8,Skip
1,talk,188,12,10,Over
1,talk,189,12,14,Over
1,talk,190,12,15,Over
1,talk,191,12,11,Over
1,talk,192,12,9,Over
1,talk,193,12,4,Over
1,talk,194,12,2,Over
1,talk,195,13,9,Over
1,talk,196,13,5,Over
1,talk,197,13,10,Over
1,talk,198,13,4,Over
1,talk,199,13,2,Over
1,talk,200,13,8,VOTE Agent[15]
1,talk,201,13,7,Over
1,talk,202,13,6,Over
1,talk,203,13,14,Over
1,talk,204,13,1,Over
1,talk,205,13,15,Over
1,talk,206,13,3,Over
1,talk,207,13,11,Over
1,talk,208,13,12,Over
1,talk,209,13,13,Over
1,talk,210,14,15,Over
1,talk,211,14,2,Over
1,talk,212,14,12,Over
1,talk,213,14,1,Over
1,talk,214,14,13,Over
1,talk,215,14,7,Over
1,talk,216,14,3,Over
1,talk,217,14,10,Over
1,talk,218,14,9,Over
1,talk,219,14,8,Skip
1,talk,220,14,4,Over
1,talk,221,14,14,Over
1,talk,222,14,6,Over
1,talk,223,14,11,Over
1,talk,224,14,5,Over
1,talk,225,15,8,Skip
1,talk,226,15,7,Over
1,talk,227,15,4,Over
1,talk,228,15,13,Over
1,talk,229,15,14,Over
1,talk,230,15,9,Over
1,talk,231,15,1,Over
1,talk,232,15,3,Over
1,talk,233,15,12,Over
1,talk,234,15,10,Over
1,talk,235,15,2,Over
1,talk,236,15,11,Over
1,talk,237,15,5,Over
1,talk,238,15,6,Over
1,talk,239,15,15,Over
1,talk,240,16,7,Over
1,talk,241,16,3,Over
1,talk,242,16,14,Over
1,talk,243,16,2,Over
1,talk,244,16,11,Over
1,talk,245,16,4,Over
1,talk,246,16,15,Over
1,talk,247,16,10,Over
1,talk,248,16,9,Over
1,talk,249,16,5,Over
1,talk,250,16,8,VOTE Agent[15]
1,talk,251,16,1,Over
1,talk,252,16,6,Over
1,talk,253,16,12,Over
1,talk,254,16,13,Over
1,talk,255,17,6,Over
1,talk,256,17,8,Skip
1,talk,257,17,12,Over
1,talk,258,17,15,Over
1,talk,259,17,1,Over
1,talk,260,17,9,Over
1,talk,261,17,10,Over
1,talk,262,17,5,Over
1,talk,263,17,2,Over
1,talk,264,17,7,Over
1,talk,265,17,13,Over
1,talk,266,17,14,Over
1,talk,267,17,3,Over
1,talk,268,17,11,Over
1,talk,269,17,4,Over
1,talk,270,18,11,Over
1,talk,271,18,14,Over
1,talk,272,18,4,Over
1,talk,273,18,10,Over
1,talk,274,18,5,Over
1,talk,275,18,7,Over
1,talk,276,18,1,Over
1,talk,277,18,3,Over
1,talk,278,18,15,Over
1,talk,279,18,13,Over
1,talk,280,18,9,Over
1,talk,281,18,12,Over
1,talk,282,18,6,Over
1,talk,283,18,8,Skip
1,talk,284,18,2,Over
1,talk,285,19,15,Over
1,talk,286,19,9,Over
1,talk,287,19,2,Over
1,talk,288,19,12,Over
1,talk,289,19,4,Over
1,talk,290,19,7,Over
1,talk,291,19,13,Over
1,talk,292,19,11,Over
1,talk,293,19,10,Over
1,talk,294,19,1,Over
1,talk,295,19,8,VOTE Agent[15]
1,talk,296,19,14,Over
1,talk,297,19,5,Over
1,talk,298,19,6,Over
1,talk,299,19,3,Over
1,vote,1,15
1,vote,2,8
1,vote,3,15
1,vote,4,15
1,vote,5,15
1,vote,6,8
1,vote,7,15
1,vote,8,15
1,vote,9,15
1,vote,10,4
1,vote,11,15
1,vote,12,15
1,vote,13,15
1,vote,14,5
1,vote,15,4
1,execute,15,VILLAGER
1,divine,8,6,WEREWOLF
1,whisper,0,0,6,ESTIMATE Agent[01] POSSESSED
1,whisper,1,0,10,ESTIMATE Agent[01] POSSESSED
1,whisper,2,0,11,ATTACK Agent[12]
1,whisper,3,1,6,ATTACK Agent[08]
1,whisper,4,1,10,ATTACK Agent[08]
1,whisper,5,1,11,Over
1,whisper,6,2,10,REQUEST(ATTACK Agent[08])
1,whisper,7,2,11,Over
1,whisper,8,2,6,REQUEST(ATTACK Agent[08])
1,whisper,9,3,6,DIVINED Agent[02] WEREWOLF
1,whisper,10,3,11,ESTIMATE Agent[01] POSSESSED
1,whisper,11,3,10,IDENTIFIED Agent[15] WEREWOLF
1,whisper,12,4,11,Over
1,whisper,13,4,10,Skip
1,whisper,14,4,6,Skip
1,whisper,15,5,6,Skip
1,whisper,16,5,11,ESTIMATE Agent[01] POSSESSED
1,whisper,17,5,10,Skip
1,whisper,18,6,11,Over
1,whisper,19,6,10,Over
1,whisper,20,6,6,Over
1,guard,3,1,POSSESSED
1,attackVote,6,8
1,attackVote,10,8
1,attackVote,11,12
1,attack,8,true
2,status,1,POSSESSED,ALIVE,carlo
2,status,2,VILLAGER,ALIVE,m_cre
2,status,3,BODYGUARD,ALIVE,cndl
2,status,4,VILLAGER,ALIVE,AITKN
2,status,5,MEDIUM,ALIVE,aplain
2,status,6,WEREWOLF,ALIVE,takkyubu
2,status,7,VILLAGER,ALIVE,kasuka
2,status,8,SEER,DEAD,johnny
2,status,9,VILLAGER,ALIVE,hibagon
2,status,10,WEREWOLF,ALIVE,colun
2,status,11,WEREWOLF,ALIVE,wasabi
2,status,12,VILLAGER,ALIVE,Udon
2,status,13,VILLAGER,ALIVE,JuN1Ro
2,status,14,VILLAGER,ALIVE,cash
2,status,15,VILLAGER,DEAD,daisyo
2,talk,0,0,11,VOTE Agent[09]
2,talk,1,0,12,VOTE Agent[02]
2,talk,2,0,4,VOTE Agent[09]
2,talk,3,0,9,DISAGREE TALK day1 ID:118
2,talk,4,0,14,VOTE Agent[05]
2,talk,5,0,13,VOTE Agent[10]
2,talk,6,0,10,COMINGOUT Agent[10] MEDIUM
2,talk,7,0,3,VOTE Agent[06]
2,talk,8,0,7,ESTIMATE Agent[06] WEREWOLF
2,talk,9,0,6,DIVINED Agent[02] WEREWOLF
2,talk,10,0,2,VOTE Agent[06]
2,talk,11,0,5,COMINGOUT Agent[05] MEDIUM
2,talk,12,0,1,DIVINED Agent[02] HUMAN
2,talk,13,1,14,Skip
2,talk,14,1,2,Skip
2,talk,15,1,9,ESTIMATE Agent[06] SEER
2,talk,16,1,7,ESTIMATE Agent[10] WEREWOLF
2,talk,17,1,11,VOTE Agent[10]
2,talk,18,1,4,Skip
2,talk,19,1,1,VOTE Agent[03]
2,talk,20,1,5,IDENTIFIED Agent[15] HUMAN
2,talk,21,1,12,VOTE Agent[10]
2,talk,22,1,10,IDENTIFIED Agent[15] WEREWOLF
2,talk,23,1,3,Skip
2,talk,24,1,13,VOTE Agent[09]
2,talk,25,1,6,VOTE Agent[02]
2,talk,26,2,14,VOTE Agent[03]
2,talk,27,2,7,ESTIMATE Agent[04] WEREWOLF
2,talk,28,2,2,Skip
2,talk,29,2,12,Over
2,talk,30,2,11,ESTIMATE Agent[05] WEREWOLF
2,talk,31,2,10,REQUEST(VOTE Agent[13])
2,talk,32,2,9,DISAGREE TALK day1 ID:82
2,talk,33,2,4,VOTE Agent[10]
2,talk,34,2,3,Skip
2,talk,35,2,5,DISAGREE TALK day1 ID:118
2,talk,36,2,6,REQUEST(VOTE Agent[02])
2,talk,37,2,1,Skip
2,talk,38,2,13,VOTE Agent[10]
2,talk,39,3,5,ESTIMATE Agent[06] SEER
2,talk,40,3,4,Skip
2,talk,41,3,1,Skip
2,talk,42,3,11,ESTIMATE Agent[10] WEREWOLF
2,talk,43,3,2,Over
2,talk,44,3,14,Skip
2,talk,45,3,9,ESTIMATE Agent[02] WEREWOLF
2,talk,46,3,3,VOTE Agent[10]
2,talk,47,3,12,Over
